Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_1571_C_-1,Mol_1475_C_1,6.3689471715349315,10.0,3.0,6.262077949999366,4.552959050008212,0.12216654999065213,-1.5869523500005016,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.44431966127649286,0.44431966127649286,atomic_atomic,0,0.44431966127649286,0.44431966127649286,0,0.08160150573704636,0.08160150573704636,5.817758288722873,4.9972787112847055,0.04056504425360577,-0.7799145331845615,-0.8070378168159393
Mol_1279_C_-1,Mol_1516_C_1,19.573876146386592,10.0,3.0,5.946089100005338,4.243716699987999,0.9914246999978786,-0.7109477000194602,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4644526608622999,0.4644526608622999,atomic_atomic,0,0.4644526608622999,0.4644526608622999,0,0.4387290240421212,0.4387290240421212,5.481636439143038,4.708169360850299,0.5526956759557574,-0.22077140233698211,-0.4901762976824786
Mol_15688_C_-1,Mol_15489_C_1,8.96482712840704,10.0,3.0,5.977476750005735,4.344044800003758,0.14370749999943655,-1.4897244500025408,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.44273040741433617,0.44273040741433617,atomic_atomic,0,0.44273040741433617,0.44273040741433617,0,0.14060092396588175,0.14060092396588175,5.534746342591399,4.786775207418094,0.0031065760335547976,-0.7448645591397504,-0.7448598908627906
Mol_17678_C_-1,Mol_17629_C_1,13.533254417770971,10.0,3.0,5.865522949970909,4.369636850009556,0.49528754998755176,-1.0005985499738017,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.44803860426380016,0.44803860426380016,atomic_atomic,0,0.44803860426380016,0.44803860426380016,0,0.260946339588376,0.260946339588376,5.417484345707109,4.817675454273356,0.23434121039917577,-0.36546768103457716,-0.6351308689392243
Mol_18202_C_-1,Mol_18158_C_1,7.746049200133525,10.0,3.0,6.009873749993858,4.366436349999276,0.24782350000168663,-1.3956138999928953,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.44291768540962084,0.44291768540962084,atomic_atomic,0,0.44291768540962084,0.44291768540962084,0,0.11184120847321663,0.11184120847321663,5.566956064584237,4.809354035408897,0.13598229152847,-0.6216197376468698,-0.773994162346025
Mol_18409_C_-1,Mol_18408_C_1,12.339638105890838,10.0,3.0,6.002964500003145,4.523877900006482,0.42883574998995755,-1.0502508500067052,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4458837380861279,0.4458837380861279,atomic_atomic,0,0.4458837380861279,0.4458837380861279,0,0.22800616735804924,0.22800616735804924,5.5570807619170175,4.96976163809261,0.2008295826319083,-0.38648954119249923,-0.6637613088142066
Mol_18486_C_-1,Mol_18448_C_1,10.135809294411205,10.0,3.0,5.939072650013259,4.520396949985297,0.19907550001516938,-1.219600200012792,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4432416390007672,0.4432416390007672,atomic_atomic,0,0.4432416390007672,0.4432416390007672,0,0.16978238204907528,0.16978238204907528,5.495831011012491,4.963638588986065,0.0292931179660941,-0.5028993040603323,-0.7167008959524591
Mol_1949_C_-1,Mol_1866_C_1,9.901610187812047,10.0,3.0,6.0855016999994405,4.496472300001187,0.278876450000098,-1.3101529499981552,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4430838112029971,0.4430838112029971,atomic_atomic,0,0.4430838112029971,0.4430838112029971,0,0.16383284610403143,0.16383284610403143,5.642417888796444,4.939556111204184,0.11504360389606655,-0.5878181736961929,-0.7223347763019627
Mol_1642_C_-1,Mol_1872_C_1,15.651310799914905,10.0,3.0,6.109475749995909,4.47204404999502,0.8049046499945689,-0.8325270500063198,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.45287806149981785,0.45287806149981785,atomic_atomic,0,0.45287806149981785,0.45287806149981785,0,0.3215639544178515,0.3215639544178515,5.656597688496091,4.924922111494838,0.4833406955767174,-0.2483348814245357,-0.5841921685817841
Mol_18873_C_-1,Mol_18795_C_1,18.977628739449106,10.0,3.0,5.914932449988555,4.546231100001023,0.5465360000089277,-0.8221653499786044,85c3a3ab062b03030c19959e00caa036,69b6a5a2aca38ba2f734a6724ea30826,0,0.4625131243033436,0.4625131243033436,atomic_atomic,0,0.4625131243033436,0.4625131243033436,0,0.4205344214962963,0.4205344214962963,5.452419325685211,5.008744224304367,0.12600157851263138,-0.3176735228682126,-0.504491827110391
