Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction,VC_correction_value
Mol_14574_C_-1,Mol_14745_C_1,13.15353876191069,10.0,3.0,5.657181150003453,3.714670099987416,0.9224926500173752,-1.020018399998662,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4473502334483966,0.4473502334483966,atomic_atomic,0,0.4473502334483966,0.4473502334483966,0,0.2506290418696158,0.2506290418696158,5.209830916555056,4.162020333435812,0.6718636081477594,-0.3759469749714843,-0.6440714250271773,0.0
Mol_1318_C_-1,Mol_1511_C_1,14.693138216358188,10.0,3.0,5.6477825500041945,3.686755299990182,1.0598973000014666,-0.901129950012546,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4504902061830198,0.4504902061830198,atomic_atomic,0,0.4504902061830198,0.4504902061830198,0,0.294165227895901,0.294165227895901,5.197292343821175,4.137245506173201,0.7657320721055656,-0.2943147655424083,-0.6068151844701386,0.0
Mol_14967_C_-1,Mol_15195_C_1,10.17373290003659,10.0,3.0,5.816520099993795,3.8802707499999087,0.7820096999930684,-1.154239650000818,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4432807969589769,0.4432807969589769,atomic_atomic,0,0.4432807969589769,0.4432807969589769,0,0.1711097375815963,0.1711097375815963,5.373239303034818,4.323551546958885,0.6108999624114719,-0.4387877936644611,-0.7154518563363574,0.0
Mol_1694_C_-1,Mol_1693_C_1,4.727419699133191,10.0,3.0,5.671887699994841,3.8159848500072258,0.2703282000002218,-1.585574649987393,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4481392615360929,0.4481392615360929,atomic_atomic,0,0.4481392615360929,0.4481392615360929,0,0.0495908383474053,0.0495908383474053,5.223748438458748,4.264124111543318,0.2207373616528165,-0.7388869652626131,-0.8466876847247805,0.0
Mol_17578_C_-1,Mol_17618_C_1,6.952912893680571,10.0,3.0,6.01116214999638,3.6677975999919,0.8223313000053167,-1.5210332499991637,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4434718914172801,0.4434718914172801,atomic_atomic,0,0.4434718914172801,0.4434718914172801,0,0.0944891022438198,0.0944891022438198,5.5676902585791,4.11126949140918,0.727842197761497,-0.7285785694084231,-0.7924546805907405,0.0
Mol_18016_C_-1,Mol_17989_C_1,4.607345790948859,10.0,3.0,5.586105349997524,3.603442649997305,0.3459173500014003,-1.6367453499988187,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4485392097930455,0.4485392097930455,atomic_atomic,0,0.4485392097930455,0.4485392097930455,0,0.0472463911712632,0.0472463911712632,5.137566140204479,4.051981859790351,0.2986709588301371,-0.7869133215839912,-0.8498320284148277,0.0
Mol_5233_C_-1,Mol_1870_C_1,23.499013567978796,10.0,3.0,5.713373299993691,3.710931749999872,1.3381916000071217,-0.6642499499866972,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4733133136755086,0.4733133136755086,atomic_atomic,0,0.4733133136755086,0.4733133136755086,0,0.5382853049049231,0.5382853049049231,5.240059986318182,4.184245063675381,0.7999062951021984,-0.2559086275406027,-0.4083413224460942,0.0
Mol_2041_C_-1,Mol_1909_C_1,4.373725800013689,10.0,3.0,5.7929086000076495,3.716735599999083,0.2180505500000435,-1.8581224500085227,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4492669201312002,0.4492669201312002,atomic_atomic,0,0.4492669201312002,0.4492669201312002,0,0.0434957021334216,0.0434957021334216,5.343641679876449,4.166002520130284,0.1745548478666219,-1.0030843118795438,-0.8550381381289787,0.0
Mol_1967_C_-1,Mol_2030_C_1,20.074233822925223,10.0,3.0,5.701600700005656,3.86584584999946,1.09004239999922,-0.7457124500069767,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4660404195720696,0.4660404195720696,atomic_atomic,0,0.4660404195720696,0.4660404195720696,0,0.4535639911195759,0.4535639911195759,5.235560280433586,4.3318862695715294,0.636478408879644,-0.2671956019824126,-0.4785168480245634,0.0
Mol_1967_C_-1,Mol_2050_C_1,21.69206632608872,10.0,3.0,5.677016849993379,3.861708049997105,1.114710149995517,-0.7005986500007566,7049b4f04320513007a41f2c80ce9989,9b93113bccbb85d51e0ff85da10b3d5e,0,0.4704221752867941,0.4704221752867941,atomic_atomic,0,0.4704221752867941,0.4704221752867941,0,0.4985863902108008,0.4985863902108008,5.206594674706585,4.332130225283899,0.6161237597847161,-0.2583406896379693,-0.4422579603627874,0.0
