Mol_C_-1,Mol_C_1,dimer_comdist,radius,eps,IP,EA,ECT,VC,hash_C_1,hash_C_-1,P1_IP,P2_IP,P_IP,method,P1_EA,P2_EA,P_EA,P1_CT,P2_CT,P_CT,IP_corrected,EA_corrected,ECT_corrected,VC_corrected,VC_correction
Mol_1541_C_-1,Mol_1528_C_1,11.909980259642497,10.0,3.0,5.247056100008194,3.9437172499892768,0.2030852500029141,-1.1002536000160035,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4452511254279779,0.4452511254279779,atomic_atomic,0,0.4452511254279779,0.4452511254279779,0,0.21694365081363035,0.21694365081363035,4.801804974580216,4.388968375417255,-0.013858400810716237,-0.42669499997367766,-0.6735586000423255
Mol_1541_C_-1,Mol_1542_C_1,5.139338402856686,10.0,3.0,5.303445600002306,3.800231999994139,0.04724470000655856,-1.4559689000016078,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4468132568837614,0.4468132568837614,atomic_atomic,0,0.4468132568837614,0.4468132568837614,0,0.05809919549778945,0.05809919549778945,4.8566323431185445,4.2470452568779,-0.010854495491230888,-0.6204415817318751,-0.8355273182697334
Mol_1689_C_-1,Mol_1543_C_1,15.451900453214808,10.0,3.0,5.263210249991971,4.078299500004505,0.3040572999889264,-0.8808534499985399,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.45217526051305185,0.45217526051305185,atomic_atomic,0,0.45217526051305185,0.45217526051305185,0,0.313485523833919,0.313485523833919,4.8110349894789195,4.530474760517556,-0.00942822384499259,-0.2899884528063557,-0.5908649971921847
Mol_1668_C_-1,Mol_1552_C_1,12.386168920367775,10.0,3.0,5.135891850004555,3.897765800007619,0.21251874999143183,-1.025607300005504,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.44595885798333845,0.44595885798333845,atomic_atomic,0,0.44595885798333845,0.44595885798333845,0,0.2292715907479808,0.2292715907479808,4.689932992021216,4.343724657990958,-0.01675284075654898,-0.3629611747868074,-0.6626461252186961
Mol_1668_C_-1,Mol_1562_C_1,17.15349001976074,10.0,3.0,5.269166200014297,3.8123618999961764,0.5270077000022866,-0.929796600015834,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4571683900921666,0.4571683900921666,atomic_atomic,0,0.4571683900921666,0.4571683900921666,0,0.3675083425199048,0.3675083425199048,4.81199780992213,4.269530290088343,0.1594993574823818,-0.38296816235140513,-0.5468284376644283
Mol_1777_C_-1,Mol_1583_C_1,19.312069850157307,10.0,3.0,5.309353000004194,4.125109649990918,0.4462084999977378,-0.7380348500155378,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4634773932787676,0.4634773932787676,atomic_atomic,0,0.4634773932787676,0.4634773932787676,0,0.4295764870508357,0.4295764870508357,4.845875606725426,4.588587043269686,0.01663201294690214,-0.24065655050883766,-0.4973782995066995
Mol_1787_C_-1,Mol_1590_C_1,18.548497250723745,10.0,3.0,5.027237749993219,4.066604049992748,0.18044634998659603,-0.7801873500138754,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4612260254213595,0.4612260254213595,atomic_atomic,0,0.4612260254213595,0.4612260254213595,0,0.4078913976858562,0.4078913976858562,4.56601172457186,4.527830075414107,-0.22744504769926016,-0.2656266968570133,-0.5145606531568627
Mol_1599_C_-1,Mol_1606_C_1,14.84751099163534,10.0,3.0,5.440035399995395,3.9311009000084596,0.4206231999996817,-1.0883112999872537,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.45092586897782133,0.45092586897782133,atomic_atomic,0,0.45092586897782133,0.45092586897782133,0,0.2991203727905377,0.2991203727905377,4.989109531017574,4.382026768986281,0.12150282720914396,-0.48557993482214934,-0.602731365165105
Mol_1670_C_-1,Mol_1623_C_1,4.049501157781645,10.0,3.0,5.3429231500049355,3.893324799995753,-0.2438490499916952,-1.6934474000008777,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.4504357378516484,0.4504357378516484,atomic_atomic,0,0.4504357378516484,0.4504357378516484,0,0.037416152009807316,0.037416152009807316,4.892487412153287,4.343760537847402,-0.2812652020015025,-0.8299920763073874,-0.8634553236934895
Mol_1579_C_-1,Mol_1679_C_1,6.544544726651124,10.0,3.0,5.346958200010704,4.085279249993619,-0.284003249995294,-1.5456822000123793,4529a482b1db6a18c5e584c8b0362ff7,ac85c387eec36b98aaab7138b62a8b88,0,0.44397525695985546,0.44397525695985546,atomic_atomic,0,0.44397525695985546,0.44397525695985546,0,0.08574823781186029,0.08574823781186029,4.902982943050849,4.529254506953474,-0.36975148780715433,-0.7434799239045293,-0.8022022761078507
